Plant species,Plant mutant ,Plant age (weeks),Tissue,Concentration (μm),Pathogen type,Pathogen lifestyle,Binary
Tomato,WT,5,Leaves,100,Fungus,Necrotrophic,Susceptible
Arabidopsis,ABA,6,Leaves,80,Fungus,Biotrophic,Susceptible
Arabidopsis,ABA,6,Leaves,80,Fungus,Biotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Oomycete,Necrotrophic,Susceptible
Tomato,ABA,3,Leaves,500,Fungus,Necrotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Oomycete,Necrotrophic,Susceptible
Arabidopsis,OTHER,5,Leaves,0,Fungus,Necrotrophic,Susceptible
Tomato,ABA,3,Leaves,250,Fungus,Necrotrophic,Susceptible
Tomato,ABA,3,Leaves,1000,Fungus,Necrotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Bacterium,Necrotrophic,Susceptible
Tomato,ABA,3,Leaves,750,Fungus,Necrotrophic,Susceptible
Tomato,WT,3,Leaves,0,Fungus,Necrotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Oomycete,Necrotrophic,Susceptible
Arabidopsis,ABA,5,Leaves,0,Fungus,Necrotrophic,Susceptible
Arabidopsis,WT,6,Leaves,80,Fungus,Biotrophic,Susceptible
Arabidopsis,ABA,6,Leaves,80,Fungus,Biotrophic,Susceptible
Arabidopsis,OTHER,4,Leaves,0,Oomycete,Necrotrophic,Susceptible
Tomato,WT,3,Leaves,10,Fungus,Necrotrophic,Susceptible
Tomato,WT,5,Leaves,10,Fungus,Necrotrophic,Susceptible
Arabidopsis,OTHER,5,Leaves,0,Fungus,Necrotrophic,Susceptible
Tomato,ABA,4,Leaves,100,Bacterium,Necrotrophic,Susceptible
Tomato,WT,3,Leaves,50,Fungus,Biotrophic,Resistant
Tomato,WT,3,Leaves,10,Fungus,Biotrophic,Resistant
Tomato,WT,3,Leaves,1000,Fungus,Biotrophic,Resistant
Tomato,WT,3,Leaves,750,Fungus,Necrotrophic,Resistant
Tomato,WT,3,Leaves,100,Fungus,Biotrophic,Resistant
Tomato,WT,3,Leaves,500,Fungus,Biotrophic,Resistant
Tomato,WT,3,Leaves,750,Fungus,Biotrophic,Resistant
Tomato,WT,3,Leaves,500,Fungus,Necrotrophic,Resistant
Tomato,WT,3,Leaves,1000,Fungus,Necrotrophic,Resistant
Tomato,ABA,3,Leaves,50,Fungus,Necrotrophic,Susceptible
Arabidopsis,OTHER,5,Leaves,0,Fungus,Necrotrophic,Susceptible
Tomato,ABA,3,Leaves,100,Fungus,Necrotrophic,Susceptible
Tomato,ABA,4,Leaves,100,Bacterium,Necrotrophic,Susceptible
Soybean,WT,6,Leaves,8,Oomycete,Hemibiotroph,Susceptible
Arabidopsis,ABA,4,Leaves,0,Fungus,Necrotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Fungus,Necrotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Fungus,Necrotrophic,Resistant
Arabidopsis,ABA,4,Leaves,0,Fungus,Necrotrophic,Resistant
Arabidopsis,ABA,4,Leaves,0,Fungus,Necrotrophic,Resistant
Tomato,ABA,5,Leaves,0,Fungus,Necrotrophic,Resistant
Tomato,ABA,5,Leaves,0,Fungus,Necrotrophic,Resistant
Arabidopsis,ABA,4,Leaves,0,Fungus,Necrotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Fungus,Necrotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Fungus,Necrotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Bacterium,Necrotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Fungus,Necrotrophic,Susceptible
Arabidopsis,WT,6,Leaves,80,Fungus,Biotrophic,Susceptible
Arabidopsis,ABA,5,Leaves,0,Fungus,Necrotrophic,Susceptible
Arabidopsis,ABA,6,Leaves,80,Fungus,Biotrophic,Susceptible
Tomato,ABA,4,Leaves,0,Bacterium,Necrotrophic,Resistant
Tomato,ABA,4,Leaves,0,Bacterium,Necrotrophic,Resistant
Tomato,ABA,4,Leaves,0,Bacterium,Necrotrophic,Resistant
Tomato,ABA,4,Leaves,0,Bacterium,Necrotrophic,Resistant
Tomato,ABA,4,Leaves,0,Bacterium,Necrotrophic,Resistant
Tomato,ABA,4,Leaves,0,Bacterium,Necrotrophic,Resistant
Tomato,ABA,4,Leaves,0,Bacterium,Necrotrophic,Resistant
Rice,WT,6,Leaves,100,Bacterium,Hemibiotroph,Susceptible
Tomato,ABA,3,Leaves,1000,Fungus,Biotrophic,Susceptible
Arabidopsis,ABA,5,Leaves,0,Fungus,Necrotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Fungus,Necrotrophic,Susceptible
Arabidopsis,OTHER,5,Leaves,500,Bacterium,Hemibiotroph,Susceptible
Tomato,WT,5,Leaves,1,Fungus,Necrotrophic,Susceptible
Tomato,ABA,5,Leaves,0,Fungus,Necrotrophic,Resistant
Tomato,ABA,5,Leaves,0,Fungus,Necrotrophic,Resistant
Tomato,ABA,5,Leaves,0,Fungus,Necrotrophic,Resistant
Arabidopsis,WT,6,Leaves,80,Fungus,Biotrophic,Susceptible
Tomato,ABA,4,Leaves,100,Bacterium,Necrotrophic,Susceptible
Arabidopsis,OTHER,4,Leaves,0,Fungus,Necrotrophic,Susceptible
Tomato,ABA,5.5,Leaves,100000,Fungus,Necrotrophic,Susceptible
Arabidopsis,OTHER,5,Leaves,0,Fungus,Necrotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Fungus,Necrotrophic,Susceptible
Tomato,WT,4,Leaves,100,Bacterium,Necrotrophic,Susceptible
Arabidopsis,ABA,4,Leaves,0,Fungus,Necrotrophic,Susceptible
Tomato,ABA,4,Leaves,100,Bacterium,Necrotrophic,Susceptible
Arabidopsis,ABA,3,Leaves,0,Fungus,Necrotrophic,Susceptible
